step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.560684903181143,0,0.0,0.9679483082395731,0,0.0
10.0,0,0.0,0.0,12.407546411981317,0,0.0,0.8895811222389493,0,0.0
15.0,4,6.0,0.375,5.9275255400647175,4,6.0,0.3542734493434883,4,6.0
20.0,7,36.0,2.25,7.358030547805273,7,36.0,0.36013187960847404,7,36.0
25.0,8,72.0,3.789473684210526,5.736455929351337,8,72.0,0.2846018482955324,8,72.0
30.0,7,85.0,5.666666666666667,4.357057842973767,7,90.0,0.3104470460259024,7,90.0
35.0,8,122.0,7.176470588235294,6.076515068295618,8,122.0,0.2952609849029673,8,122.0
40.0,9,167.0,7.260869565217392,6.820904914053907,9,167.0,0.37688353662745566,9,167.0
45.0,12,219.0,10.428571428571429,5.303880246751415,12,219.0,0.36323330108280716,12,219.0
50.0,11,269.0,12.227272727272727,4.094475738764046,11,269.0,0.2552948708838965,11,269.0
55.0,15,338.0,14.083333333333334,3.8067864522295403,15,338.0,0.18200586928695056,15,338.0
60.0,11,193.0,8.041666666666666,3.1194416576407225,11,328.0,0.10694414746890794,11,328.0
65.0,8,160.0,6.153846153846154,6.509945603922154,8,234.0,0.33206342393053034,8,234.0
70.0,8,188.0,7.52,6.253623028996299,8,246.0,0.24239530881525234,8,246.0
75.0,13,243.0,7.838709677419355,6.9092060406574864,13,301.0,0.3794887916691856,13,301.0
80.0,10,203.0,7.25,7.188636233594031,10,310.0,0.45600211252507383,10,310.0
85.0,11,254.0,8.758620689655173,6.134416949966855,11,312.0,0.297330183459715,11,312.0
90.0,16,328.0,11.714285714285714,5.4901788594196,16,386.0,0.17847226035707905,16,386.0
95.0,15,395.0,15.192307692307692,4.028306329332849,15,453.0,0.17041138724911467,15,453.0
100.0,16,475.0,19.791666666666668,3.9874915889268396,16,533.0,0.18525268462283517,16,533.0
105.0,17,556.0,21.384615384615383,3.84797673371398,17,614.0,0.1727641927013058,17,614.0
110.0,15,404.0,14.428571428571429,4.427784230736946,15,507.0,0.32069684025931355,15,507.0
115.0,18,485.0,16.166666666666668,5.141764355065374,18,543.0,0.29468709334582727,18,543.0
120.0,18,575.0,19.166666666666668,3.7739169564954285,18,633.0,0.17414763823279378,18,633.0
125.0,22,650.0,21.666666666666668,2.452928485663831,22,711.0,0.15592188100303747,22,711.0
130.0,22,760.0,25.333333333333332,3.09122588204484,22,818.0,0.12366535048548512,22,818.0
135.0,25,877.0,25.794117647058822,3.359337160547023,25,935.0,0.13473054759073771,25,935.0
140.0,25,1002.0,31.3125,2.2785749948106533,25,1060.0,0.09824822940858687,25,1060.0
145.0,27,1133.0,32.371428571428574,2.7910794848662315,27,1191.0,0.1921579437679353,27,1191.0
150.0,23,797.0,20.435897435897434,3.7813878741559868,23,1133.0,0.26123511304708,23,1133.0
155.0,15,318.0,8.153846153846153,3.7496538200007934,15,886.0,0.1907755490277856,15,886.0
160.0,15,237.0,5.511627906976744,5.367583437429173,15,578.0,0.20297179545198915,15,578.0
165.0,11,218.0,5.317073170731708,5.375048596850649,11,599.0,0.22484682303139292,11,599.0
170.0,16,287.0,7.358974358974359,4.936573806055886,16,635.0,0.18724608517597888,16,635.0
175.0,19,350.0,10.0,3.8458628143407516,19,699.0,0.08910845034683594,19,699.0
180.0,24,466.0,14.121212121212121,3.0500969128846402,24,815.0,0.09513666375407769,24,815.0
185.0,20,482.0,13.38888888888889,3.3415720128144684,20,794.0,0.192037538068862,20,794.0
190.0,12,436.0,12.11111111111111,4.693577931637001,12,665.0,0.25137127059269865,12,665.0
195.0,12,449.0,11.81578947368421,4.535940766306479,12,668.0,0.18448103401470436,12,668.0
200.0,19,531.0,14.35135135135135,4.247862413272648,19,749.0,0.1490555482534784,19,749.0
205.0,25,646.0,18.457142857142856,2.71084901286779,25,864.0,0.10433769416682938,25,864.0
210.0,29,783.0,23.727272727272727,1.472045057447135,29,1001.0,0.11203157299168288,29,1001.0
215.0,29,928.0,28.12121212121212,0.6779163826841993,29,1146.0,0.05017913930160389,29,1146.0
220.0,29,1054.0,24.511627906976745,3.4060259471697423,29,1274.0,0.2342678580334564,29,1274.0
225.0,29,1199.0,27.88372093023256,3.009935714024002,29,1417.0,0.14580306713044416,29,1417.0
230.0,36,1364.0,29.02127659574468,2.8006326474779857,36,1582.0,0.09349455809656358,36,1582.0
235.0,38,1550.0,35.22727272727273,1.6794913600423371,38,1768.0,0.057434464185119015,38,1768.0
240.0,37,1722.0,40.04651162790697,1.1487625470206249,37,1940.0,0.0666526841345792,37,1940.0
245.0,38,1908.0,42.4,1.7680808799223198,38,2126.0,0.04915870878786339,38,2126.0
250.0,33,1403.0,29.851063829787233,2.564970305193947,33,2058.0,0.10615464397584012,33,2058.0
255.0,25,1022.0,20.857142857142858,3.7261875084355687,25,1759.0,0.1865817894504213,25,1759.0
260.0,22,779.0,15.27450980392157,4.361170968555925,22,1601.0,0.20181794692713811,22,1601.0
265.0,18,377.0,8.02127659574468,3.2095084521991004,18,1359.0,0.13873459024880364,18,1359.0
270.0,20,161.0,3.3541666666666665,5.0889399826722235,20,1057.0,0.22003608619555737,20,1057.0
275.0,16,147.0,3.2666666666666666,4.633527223509604,16,1105.0,0.20733200223631648,16,1105.0
280.0,22,242.0,5.5,4.466419230289394,22,1189.0,0.16742912971384177,22,1189.0
285.0,21,226.0,5.65,3.4156484117473775,21,1108.0,0.115132149334441,21,1108.0
290.0,20,183.0,3.893617021276596,5.859108300072755,20,920.0,0.3114521708942146,20,920.0
295.0,17,172.0,3.909090909090909,5.567731824851058,17,818.0,0.28420534580718515,17,818.0
300.0,12,89.0,2.0697674418604652,4.56019786116846,12,628.0,0.1769196739354694,12,628.0
305.0,13,66.0,1.6097560975609757,4.387140403308737,13,551.0,0.18526053793155128,13,551.0
310.0,12,105.0,2.625,4.893037246445517,12,504.0,0.1883141088619508,12,504.0
315.0,22,195.0,5.131578947368421,4.86542165291779,22,578.0,0.11942616299253009,22,578.0
320.0,18,222.0,6.3428571428571425,4.180693178505745,18,555.0,0.16269345282332778,18,555.0
325.0,13,221.0,6.314285714285714,5.41584713823983,13,437.0,0.2850775263917094,13,437.0
330.0,10,241.0,6.694444444444445,7.4060270524010825,10,326.0,0.35551778548393953,10,326.0
335.0,11,292.0,8.342857142857143,7.866177941301675,11,310.0,0.3382685667987271,11,310.0
340.0,12,351.0,11.32258064516129,5.794610598645644,12,369.0,0.1970122003365283,12,369.0
345.0,15,420.0,15.555555555555555,4.405957972081463,15,438.0,0.1466167585683837,15,438.0
350.0,13,217.0,8.037037037037036,3.9078293385273195,13,401.0,0.15892915417890802,13,401.0
355.0,9,173.0,6.92,6.004671592909444,9,283.0,0.3049838696496769,9,283.0
360.0,12,225.0,9.0,3.8675511450242435,12,335.0,0.07995857126366979,12,335.0
365.0,19,304.0,9.806451612903226,5.184943671962742,19,414.0,0.32904695297428965,19,414.0
370.0,17,262.0,9.03448275862069,3.5836246976009725,17,372.0,0.24383070061976408,17,372.0
375.0,22,363.0,11.0,3.2443162595205433,22,473.0,0.13999963982232141,22,473.0
380.0,19,291.0,8.818181818181818,3.21749216092116,19,507.0,0.11068551457236792,19,507.0
385.0,15,265.0,8.030303030303031,4.5993664819314,15,464.0,0.21897883794549117,15,464.0
390.0,19,352.0,10.666666666666666,4.064977927051732,19,551.0,0.12872528240025094,19,551.0
395.0,24,461.0,14.870967741935484,1.8022027861575114,24,660.0,0.07184623986408344,24,660.0
400.0,27,593.0,16.942857142857143,2.5730868644987064,27,792.0,0.19274093933837844,27,792.0
405.0,22,459.0,12.405405405405405,2.575830974607099,22,777.0,0.1842931296810361,22,777.0
410.0,16,325.0,8.333333333333334,3.5759190109463534,16,659.0,0.16372130393539253,16,659.0
415.0,16,252.0,6.146341463414634,4.170666628374418,16,670.0,0.17349358444865168,16,670.0
420.0,22,339.0,8.921052631578947,3.8100088415185547,22,678.0,0.05649063973460368,22,678.0
425.0,21,405.0,10.657894736842104,4.3527143586735235,21,688.0,0.15084971833609995,21,688.0
430.0,15,449.0,13.205882352941176,4.146756440424817,15,623.0,0.12596843951793743,15,623.0
435.0,21,536.0,13.073170731707316,4.6380341385913235,21,710.0,0.27252464109292085,21,710.0
440.0,25,653.0,16.325,3.9573275985025282,25,827.0,0.23565753663039024,25,827.0
445.0,28,784.0,20.102564102564102,3.0414895484129736,28,958.0,0.1822121311132416,28,958.0
450.0,32,934.0,23.94871794871795,1.7338647962019325,32,1108.0,0.0718206469833957,32,1108.0
455.0,36,1107.0,28.384615384615383,0.7196524863005456,36,1281.0,0.05005113357793372,36,1281.0
460.0,37,1292.0,31.51219512195122,0.7924365449099597,37,1466.0,0.05345079870546737,37,1466.0
465.0,33,1033.0,24.023255813953487,1.1901995188100036,33,1458.0,0.07118644260821108,33,1458.0
470.0,26,627.0,12.795918367346939,3.6338517553375507,26,1260.0,0.1939367032279592,26,1260.0
475.0,18,465.0,9.117647058823529,4.6136880624620344,18,1231.0,0.24930017204209598,18,1231.0
480.0,23,543.0,11.3125,3.7942718447232835,23,1287.0,0.14500999988716448,23,1287.0
485.0,23,372.0,7.75,2.9021402547502135,23,1270.0,0.1244079290491204,23,1270.0
490.0,21,178.0,3.9555555555555557,3.0102401160190926,21,1164.0,0.08744645530141067,21,1164.0
495.0,26,277.0,5.8936170212765955,3.5340064625377177,26,1270.0,0.15809156230945087,26,1270.0
500.0,31,420.0,9.545454545454545,2.1391318294374595,31,1406.0,0.051845782492100256,31,1406.0
